,FIN,DVS,WSO,IRRAD,TEMP,RAIN,DAYS
312,0.0,2.9849866131191445,67.70669624196972,8920000.0,5.25,0.353,313.0
313,0.0,2.9852691719257995,67.70669624196972,4800000.0,6.77,0.43200000000000005,314.0
314,0.0,2.986581325301206,67.70669624196972,4139999.9999999995,5.36,0.6769999999999999,315.0
315,0.0,2.986581325301206,67.70669624196972,4920000.0,8.18,0.277,316.0
316,0.0,2.990266542359917,67.70669624196972,2600000.0,5.86,0.261,317.0
317,0.0,2.990266542359917,67.70669624196972,8850000.0,3.67,0.008,318.0
318,0.0,2.990432802639129,67.70669624196972,7490000.0,0.79,0.014000000000000002,319.0
319,0.0,2.990432802639129,67.70669624196972,5450000.0,0.9,0.179,320.0
320,0.0,2.990432802639129,67.70669624196972,4600000.0,1.58,0.16999999999999998,321.0
321,0.0,2.990432802639129,67.70669624196972,5990000.0,5.34,0.091,322.0
322,0.0,2.991180077452669,67.70669624196972,6120000.0,3.38,0.10300000000000001,323.0
323,0.0,2.991180077452669,67.70669624196972,4019999.9999999995,2.87,0.8019999999999999,324.0
324,0.0,2.991180077452669,67.70669624196972,8010000.0,2.28,0.004,325.0
325,0.0,2.991224541021229,67.70669624196972,4860000.0,-0.67,0.06999999999999999,326.0
326,0.0,2.991224541021229,67.70669624196972,1610000.0,2.5,0.721,327.0
327,0.0,2.991487378083765,67.70669624196972,3780000.0,1.62,0.05600000000000001,328.0
328,0.0,2.991487378083765,67.70669624196972,2860000.0,0.73,0.086,329.0
329,0.0,2.991487378083765,67.70669624196972,6070000.0,-0.51,0.06,330.0
330,0.0,2.991487378083765,67.70669624196972,1530000.0,3.56,1.15,331.0
331,0.0,2.991487378083765,67.70669624196972,4300000.0,4.36,0.06899999999999999,332.0
332,0.0,2.991487378083765,67.70669624196972,3830000.0,3.15,0.24500000000000002,333.0
333,0.0,2.991487378083765,67.70669624196972,4700000.0,1.87,0.1,334.0
334,0.0,2.991487378083765,67.70669624196972,6810000.0,-0.31,0.004,335.0
335,0.0,-0.1,4.11,6380000.0,-3.73,0.002,336.0
336,0.0,-0.1,4.11,6380000.0,-6.35,0.001,337.0
337,0.0,-0.1,4.11,4400000.0,-7.28,0.001,338.0
338,0.0,-0.1,4.11,5520000.0,-7.53,0.003,339.0
339,0.0,-0.1,4.11,4850000.0,-7.3,0.007000000000000001,340.0
340,0.0,-0.1,4.11,3840000.0,-2.17,0.011,341.0
341,0.0,-0.1,4.11,4590000.0,0.81,0.133,342.0
342,0.0,-0.1,4.11,4019999.9999999995,1.02,0.45,343.0
